2014-04-16 20:37:41 status half-installed libbz2-1.0:armhf 1.0.6-5
2014-04-16 20:37:42 status unpacked libbz2-1.0:armhf 1.0.6-5
2014-04-16 20:37:42 status unpacked libbz2-1.0:armhf 1.0.6-5
2014-04-16 20:37:42 install libc-bin:armhf <none> 2.19-0ubuntu6
2014-04-16 20:37:42 status half-installed libc-bin:armhf 2.19-0ubuntu6
2014-04-16 20:37:42 status unpacked libc-bin:armhf 2.19-0ubuntu6
2014-04-16 20:37:42 status unpacked libc-bin:armhf 2.19-0ubuntu6
2014-04-16 20:37:43 upgrade libc6:armhf 2.19-0ubuntu6 2.19-0ubuntu6
2014-04-16 20:37:43 status half-configured libc6:armhf 2.19-0ubuntu6
2014-04-16 20:37:43 status unpacked libc6:armhf 2.19-0ubuntu6
2014-04-16 20:37:43 status half-installed libc6:armhf 2.19-0ubuntu6
2014-04-16 20:37:44 status half-installed libc6:armhf 2.19-0ubuntu6
2014-04-16 20:37:44 status unpacked libc6:armhf 2.19-0ubuntu6
2014-04-16 20:37:44 status unpacked libc6:armhf 2.19-0ubuntu6
2014-04-16 20:37:44 install libcap2:armhf <none> 1:2.24-0ubuntu2
2014-04-16 20:37:44 status half-installed libcap2:armhf 1:2.24-0ubuntu2
2014-04-16 20:37:44 status unpacked libcap2:armhf 1:2.24-0ubuntu2
2014-04-16 20:37:44 status unpacked libcap2:armhf 1:2.24-0ubuntu2
2014-04-16 20:37:44 install libcgmanager0:armhf <none> 0.24-0ubuntu5
2014-04-16 20:37:44 status half-installed libcgmanager0:armhf 0.24-0ubuntu5
2014-04-16 20:37:45 status unpacked libcgmanager0:armhf 0.24-0ubuntu5
2014-04-16 20:37:45 status unpacked libcgmanager0:armhf 0.24-0ubuntu5
2014-04-16 20:37:45 install libcomerr2:armhf <none> 1.42.9-3ubuntu1
2014-04-16 20:37:45 status half-installed libcomerr2:armhf 1.42.9-3ubuntu1
2014-04-16 20:37:45 status unpacked libcomerr2:armhf 1.42.9-3ubuntu1
2014-04-16 20:37:45 status unpacked libcomerr2:armhf 1.42.9-3ubuntu1
2014-04-16 20:37:45 install libdb5.3:armhf <none> 5.3.28-3ubuntu3
2014-04-16 20:37:45 status half-installed libdb5.3:armhf 5.3.28-3ubuntu3
2014-04-16 20:37:46 status unpacked libdb5.3:armhf 5.3.28-3ubuntu3
2014-04-16 20:37:46 status unpacked libdb5.3:armhf 5.3.28-3ubuntu3
2014-04-16 20:37:46 install libdbus-1-3:armhf <none> 1.6.18-0ubuntu4
2014-04-16 20:37:46 status half-installed libdbus-1-3:armhf 1.6.18-0ubuntu4
2014-04-16 20:37:46 status unpacked libdbus-1-3:armhf 1.6.18-0ubuntu4
2014-04-16 20:37:46 status unpacked libdbus-1-3:armhf 1.6.18-0ubuntu4
2014-04-16 20:37:46 install libdebconfclient0:armhf <none> 0.187ubuntu1
2014-04-16 20:37:46 status half-installed libdebconfclient0:armhf 0.187ubuntu1
2014-04-16 20:37:47 status unpacked libdebconfclient0:armhf 0.187ubuntu1
2014-04-16 20:37:47 status unpacked libdebconfclient0:armhf 0.187ubuntu1
2014-04-16 20:37:47 install libdrm2:armhf <none> 2.4.52-1
2014-04-16 20:37:47 status half-installed libdrm2:armhf 2.4.52-1
2014-04-16 20:37:47 status unpacked libdrm2:armhf 2.4.52-1
2014-04-16 20:37:47 status unpacked libdrm2:armhf 2.4.52-1
2014-04-16 20:37:47 install libgcc1:armhf <none> 1:4.9-20140406-0ubuntu1
2014-04-16 20:37:47 status half-installed libgcc1:armhf 1:4.9-20140406-0ubuntu1
2014-04-16 20:37:48 status unpacked libgcc1:armhf 1:4.9-20140406-0ubuntu1
2014-04-16 20:37:48 status unpacked libgcc1:armhf 1:4.9-20140406-0ubuntu1
2014-04-16 20:37:49 install libjson-c2:armhf <none> 0.11-3ubuntu1
2014-04-16 20:37:49 status half-installed libjson-c2:armhf 0.11-3ubuntu1
2014-04-16 20:37:49 status unpacked libjson-c2:armhf 0.11-3ubuntu1
2014-04-16 20:37:49 status unpacked libjson-c2:armhf 0.11-3ubuntu1
2014-04-16 20:37:49 install libjson0:armhf <none> 0.11-3ubuntu1
2014-04-16 20:37:49 status half-installed libjson0:armhf 0.11-3ubuntu1
2014-04-16 20:37:49 status unpacked libjson0:armhf 0.11-3ubuntu1
2014-04-16 20:37:49 status unpacked libjson0:armhf 0.11-3ubuntu1
2014-04-16 20:37:49 install libklibc:armhf <none> 2.0.3-0ubuntu1
2014-04-16 20:37:49 status half-installed libklibc:armhf 2.0.3-0ubuntu1
2014-04-16 20:37:49 status unpacked libklibc:armhf 2.0.3-0ubuntu1
2014-04-16 20:37:50 status unpacked libklibc:armhf 2.0.3-0ubuntu1
2014-04-16 20:37:50 install libkmod2:armhf <none> 15-0ubuntu6
2014-04-16 20:37:50 status half-installed libkmod2:armhf 15-0ubuntu6
2014-04-16 20:37:50 status unpacked libkmod2:armhf 15-0ubuntu6
2014-04-16 20:37:50 status unpacked libkmod2:armhf 15-0ubuntu6
2014-04-16 20:37:50 install liblzma5:armhf <none> 5.1.1alpha+20120614-2ubuntu2
2014-04-16 20:37:50 status half-installed liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2014-04-16 20:37:51 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2014-04-16 20:37:51 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2014-04-16 20:37:51 install libmount1:armhf <none> 2.20.1-5.1ubuntu20
2014-04-16 20:37:51 status half-installed libmount1:armhf 2.20.1-5.1ubuntu20
2014-04-16 20:37:51 status unpacked libmount1:armhf 2.20.1-5.1ubuntu20
2014-04-16 20:37:51 status unpacked libmount1:armhf 2.20.1-5.1ubuntu20
2014-04-16 20:37:51 install libncurses5:armhf <none> 5.9+20140118-1ubuntu1
2014-04-16 20:37:51 status half-installed libncurses5:armhf 5.9+20140118-1ubuntu1
2014-04-16 20:37:52 status unpacked libncurses5:armhf 5.9+20140118-1ubuntu1
2014-04-16 20:37:52 status unpacked libncurses5:armhf 5.9+20140118-1ubuntu1
2014-04-16 20:37:52 install libncursesw5:armhf <none> 5.9+20140118-1ubuntu1
2014-04-16 20:37:52 status half-installed libncursesw5:armhf 5.9+20140118-1ubuntu1
2014-04-16 20:37:52 status unpacked libncursesw5:armhf 5.9+20140118-1ubuntu1
2014-04-16 20:37:52 status unpacked libncursesw5:armhf 5.9+20140118-1ubuntu1
2014-04-16 20:37:52 install libnih-dbus1:armhf <none> 1.0.3-4ubuntu25
2014-04-16 20:37:52 status half-installed libnih-dbus1:armhf 1.0.3-4ubuntu25
2014-04-16 20:37:53 status unpacked libnih-dbus1:armhf 1.0.3-4ubuntu25
2014-04-16 20:37:53 status unpacked libnih-dbus1:armhf 1.0.3-4ubuntu25
2014-04-16 20:37:53 install libnih1:armhf <none> 1.0.3-4ubuntu25
2014-04-16 20:37:53 status half-installed libnih1:armhf 1.0.3-4ubuntu25
2014-04-16 20:37:53 status unpacked libnih1:armhf 1.0.3-4ubuntu25
2014-04-16 20:37:53 status unpacked libnih1:armhf 1.0.3-4ubuntu25
2014-04-16 20:37:53 install libpam-modules:armhf <none> 1.1.8-1ubuntu2
2014-04-16 20:37:53 status half-installed libpam-modules:armhf 1.1.8-1ubuntu2
2014-04-16 20:37:54 status unpacked libpam-modules:armhf 1.1.8-1ubuntu2
2014-04-16 20:37:54 status unpacked libpam-modules:armhf 1.1.8-1ubuntu2
2014-04-16 20:37:54 install libpam-modules-bin:armhf <none> 1.1.8-1ubuntu2
2014-04-16 20:37:54 status half-installed libpam-modules-bin:armhf 1.1.8-1ubuntu2
2014-04-16 20:37:54 status unpacked libpam-modules-bin:armhf 1.1.8-1ubuntu2
2014-04-16 20:37:54 status unpacked libpam-modules-bin:armhf 1.1.8-1ubuntu2
2014-04-16 20:37:55 install libpam-runtime:all <none> 1.1.8-1ubuntu2
2014-04-16 20:37:55 status half-installed libpam-runtime:all 1.1.8-1ubuntu2
2014-04-16 20:37:55 status unpacked libpam-runtime:all 1.1.8-1ubuntu2
2014-04-16 20:37:55 status unpacked libpam-runtime:all 1.1.8-1ubuntu2
2014-04-16 20:37:55 install libpam0g:armhf <none> 1.1.8-1ubuntu2
2014-04-16 20:37:55 status half-installed libpam0g:armhf 1.1.8-1ubuntu2
2014-04-16 20:37:55 status unpacked libpam0g:armhf 1.1.8-1ubuntu2
2014-04-16 20:37:55 status unpacked libpam0g:armhf 1.1.8-1ubuntu2
2014-04-16 20:37:56 install libpcre3:armhf <none> 1:8.31-2ubuntu2
2014-04-16 20:37:56 status half-installed libpcre3:armhf 1:8.31-2ubuntu2
2014-04-16 20:37:56 status unpacked libpcre3:armhf 1:8.31-2ubuntu2
2014-04-16 20:37:56 status unpacked libpcre3:armhf 1:8.31-2ubuntu2
2014-04-16 20:37:56 install libplymouth2:armhf <none> 0.8.8-0ubuntu17
2014-04-16 20:37:56 status half-installed libplymouth2:armhf 0.8.8-0ubuntu17
2014-04-16 20:37:56 status unpacked libplymouth2:armhf 0.8.8-0ubuntu17
2014-04-16 20:37:56 status unpacked libplymouth2:armhf 0.8.8-0ubuntu17
2014-04-16 20:37:56 install libpng12-0:armhf <none> 1.2.50-1ubuntu2
2014-04-16 20:37:56 status half-installed libpng12-0:armhf 1.2.50-1ubuntu2
2014-04-16 20:37:57 status unpacked libpng12-0:armhf 1.2.50-1ubuntu2
2014-04-16 20:37:57 status unpacked libpng12-0:armhf 1.2.50-1ubuntu2
2014-04-16 20:37:57 install libprocps3:armhf <none> 1:3.3.9-1ubuntu2
2014-04-16 20:37:57 status half-installed libprocps3:armhf 1:3.3.9-1ubuntu2
2014-04-16 20:37:57 status unpacked libprocps3:armhf 1:3.3.9-1ubuntu2
2014-04-16 20:37:57 status unpacked libprocps3:armhf 1:3.3.9-1ubuntu2
2014-04-16 20:37:57 install libselinux1:armhf <none> 2.2.2-1
2014-04-16 20:37:57 status half-installed libselinux1:armhf 2.2.2-1
2014-04-16 20:37:58 status unpacked libselinux1:armhf 2.2.2-1
2014-04-16 20:37:58 status unpacked libselinux1:armhf 2.2.2-1
2014-04-16 20:37:58 install libsemanage-common:all <none> 2.2-1
2014-04-16 20:37:58 status half-installed libsemanage-common:all 2.2-1
2014-04-16 20:37:58 status unpacked libsemanage-common:all 2.2-1
2014-04-16 20:37:58 status unpacked libsemanage-common:all 2.2-1
2014-04-16 20:37:59 install libsemanage1:armhf <none> 2.2-1
2014-04-16 20:37:59 status half-installed libsemanage1:armhf 2.2-1
2014-04-16 20:37:59 status unpacked libsemanage1:armhf 2.2-1
2014-04-16 20:37:59 status unpacked libsemanage1:armhf 2.2-1
2014-04-16 20:37:59 install libsepol1:armhf <none> 2.2-1
2014-04-16 20:37:59 status half-installed libsepol1:armhf 2.2-1
2014-04-16 20:37:59 status unpacked libsepol1:armhf 2.2-1
2014-04-16 20:37:59 status unpacked libsepol1:armhf 2.2-1
2014-04-16 20:38:00 install libslang2:armhf <none> 2.2.4-15ubuntu1
2014-04-16 20:38:00 status half-installed libslang2:armhf 2.2.4-15ubuntu1
2014-04-16 20:38:00 status unpacked libslang2:armhf 2.2.4-15ubuntu1
2014-04-16 20:38:00 status unpacked libslang2:armhf 2.2.4-15ubuntu1
2014-04-16 20:38:00 install libss2:armhf <none> 1.42.9-3ubuntu1
2014-04-16 20:38:00 status half-installed libss2:armhf 1.42.9-3ubuntu1
